Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment    
,13-01-2012,461622.22,0,9.472222222,3.215,134.1777742,7.143
,20-01-2012,420728.96,0,9.355555556,3.232,134.2784667,7.143
,27-01-2012,421642.19,0,9.377777778,3.243,134.3571,7.143
,03-02-2012,407204.86,0,8.288888889,3.24,134.4357333,6.908
,10-02-2012,415202.04,0,8.755555556,3.255,134.5143667,6.908
,17-02-2012,384200.69,0,9.222222222,3.263,134.593,6.908
,24-02-2012,375328.59,0,7.733333333,3.281,134.6803871,6.908
,02-03-2012,359949.27,0,8.772222222,3.437,134.7677742,6.908
,09-03-2012,423294.4,0,10.82222222,3.6,134.8551613,6.908
,16-03-2012,415870.28,0,13.77222222,3.634,134.9425484,6.908
,23-03-2012,354993.26,0,16.01666667,3.624,135.0837333,6.908
,30-03-2012,339976.65,0,17.14444444,3.638,135.2652667,6.908
,06-04-2012,361248.39,0,17.8,3.72,135.4468,6.908
,13-04-2012,399323.86,1,17.33333333,3.823,135.6283333,6.908
,20-04-2012,384357.94,0,18.87777778,3.919,135.7837419,6.908
,27-04-2012,343763.17,0,18.91111111,3.988,135.8738387,6.908
,04-05-2012,350089.23,0,15.38888889,4.078,135.9639355,6.573
,11-05-2012,396968.8,0,15.55,4.095,136.0540323,6.573
,18-05-2012,355017.09,0,14.25555556,4.101,136.144129,6.573
,25-05-2012,364076.85,0,13.14444444,4.034,136.183129,6.573
,01-06-2012,357346.48,0,11.55,3.973,136.2136129,8.324
,08-06-2012,381151.72,1,11.18333333,3.924,136.2440968,8.324
,15-06-2012,349214.18,0,10.11666667,3.873,136.2745806,8.324
,22-06-2012,352728.78,0,10.2,3.851,136.3145,8.324
,29-06-2012,352864.49,0,10.42222222,3.815,136.367,8.324
,06-07-2012,347955.05,0,9.911111111,3.784,136.4195,8.324
,13-07-2012,402635.76,0,11.18333333,3.827,136.472,8.324
,20-07-2012,339597.38,0,7.155555556,3.882,136.5150968,8.324
,27-07-2012,351728.21,0,6.111111111,3.898,136.5017742,8.2
,03-08-2012,362134.09,0,6.788888889,3.903,136.4884516,8.2
,10-08-2012,366473.97,0,7.261111111,3.88,136.475129,8.2
,17-08-2012,352260.97,0,7.8,3.82,136.4618065,8.2
,24-08-2012,363064.64,0,9.872222222,3.796,136.4666667,8.2
,31-08-2012,355626.87,0,12.22222222,3.784,136.4788,8.2
,07-09-2012,358784.1,0,15.09444444,3.809,136.4909333,8.2
,14-09-2012,395107.35,0,17.35555556,3.809,136.5030667,8.2
,21-09-2012,345584.39,0,19.00555556,3.758,136.5335161,8.2
,28-09-2012,348895.98,0,20.04444444,3.684,136.5883871,8.2
,05-10-2012,348591.74,0,21.05,3.633,136.6432581,8.2
,12-10-2012,423175.56,0,21.18333333,3.583,136.698129,8.2
,19-10-2012,386635.03,0,20.11666667,3.618,136.753,8.2
,26-10-2012,372545.32,0,20.21666667,3.604,136.8564194,8.099
,05-02-2010,565567.84,0,20,3.586,136.9598387,8.099
,12-02-2010,476420.77,0,17.8,3.57,137.0632581,8.099
,19-02-2010,467642.03,0,16.06111111,3.571,137.1666774,8.099
,26-02-2010,498159.39,0,15.02222222,3.536,137.2583103,8.099
,05-03-2010,605990.41,0,14.42222222,3.501,137.3411034,8.099
,12-03-2010,382677.76,0,14.25555556,3.47,137.4238966,8.099
,19-03-2010,378241.34,0,13.77222222,3.445,137.5066897,8.099
,26-03-2010,381061.1,0,13.28333333,3.413,137.5843871,8.099
,02-04-2010,350876.7,0,8.633333333,3.402,137.6552903,8.099
,09-04-2010,364866.24,0,11.25,3.439,137.7261935,8.099
,16-04-2010,438516.53,0,11.18333333,3.523,137.7970968,8.099
,23-04-2010,430526.21,0,10.69444444,3.542,137.868,8.099
,30-04-2010,432782.1,1,11.11111111,3.568,137.9230667,8.163
,07-05-2010,397211.19,0,11.11111111,3.633,137.9781333,8.163
,14-05-2010,437084.51,0,12.16666667,3.655,138.0332,8.163
,21-05-2010,404753.3,0,12.75555556,3.703,138.0882667,8.163
,28-05-2010,392109.51,0,13.83888889,3.751,138.1065806,8.163
,04-06-2010,380683.67,0,16.18333333,3.827,138.1101935,8.163
,11-06-2010,374556.08,0,17.51666667,3.876,138.1138065,8.163
,18-06-2010,384075.31,0,17.38333333,3.867,138.1174194,8.163
,25-06-2010,366250.69,0,17.36111111,3.889,138.1295333,8.163
,02-07-2010,391860.04,0,17.20555556,3.921,138.1629,8.163
,09-07-2010,367405.4,0,15.63333333,3.957,138.1962667,8.163
,16-07-2010,413042.12,0,13.57777778,4.025,138.2296333,8.163
,23-07-2010,386312.68,0,10.91111111,4.046,138.263,8.163
,30-07-2010,364603.13,0,8.8,4.023,138.2331935,8.163
,06-08-2010,369350.6,0,8.961111111,3.991,138.2033871,8.028
,13-08-2010,394507.84,0,8.2,3.947,138.1735806,8.028
,20-08-2010,391638.75,0,7.688888889,3.899,138.1437742,8.028
,27-08-2010,403423.34,0,7.766666667,3.85,138.1857097,8.028
,03-09-2010,385520.71,0,8.2,3.798,138.2814516,8.028
,10-09-2010,368962.72,0,8.177777778,3.746,138.3771935,8.028
,17-09-2010,395146.24,0,7.311111111,3.683,138.4729355,8.028
,24-09-2010,373454.33,0,7.644444444,3.629,138.5673,8.028
,01-10-2010,360617.37,0,6.622222222,3.577,138.6534,8.028
,08-10-2010,345381.29,0,6.683333333,3.538,138.7395,8.028
,15-10-2010,409981.25,0,6.088888889,3.561,138.8256,8.028
,22-10-2010,380376.85,0,6.066666667,3.61,138.9117,8.028
,29-10-2010,379716.91,0,6.144444444,3.701,138.8336129,7.931
,05-11-2010,366367.55,1,7.133333333,3.698,138.7281613,7.931
,12-11-2010,375988.69,0,7.205555556,3.772,131.5279032,7.931
,19-11-2010,377347.49,0,7.566666667,3.84,131.5866129,7.931
,26-11-2010,375629.51,0,8.9,3.874,131.637,7.931
,03-12-2010,365248.94,0,9.961111111,3.884,131.686,7.931
,10-12-2010,368477.93,0,9.888888889,3.921,131.735,7.931
,17-12-2010,403342.4,0,11.06666667,3.988,131.784,7.931
,24-12-2010,368282.57,0,10.11666667,4.056,131.8242903,7.931
